Particle Type,Pressure (mbar),f1 Peak Frequency (Hz),f2 Peak Frequency (Hz),f3 Peak Frequency (Hz),f1 Radius (m),f2 Radius (m),f3 Radius (m),f1 Mass (kg),f2 Mass (kg),f3 Mass (kg),f1 Damping,f2 Damping,f3 Damping,f1 A Parameter,f2 A Parameter,f3 A Parameter,f1 Conversion Factor (V m^-1),f2 Conversion Factor (V m^-1),f3 Conversion Factor (V m^-1),f1 Signal,f2 Signal,f3 Signal,Noise Floor,f1 Signal-to-noise Value,f2 Signal-to-noise Value,f3 Signal-to-noise Value
25T 1000uM Final ZnCl2 SiNP,3.52,106237.0,170726.0,193748.0,2.44e-08,7.01e-08,5.7300000000000004e-08,1.09e-19,2.6000000000000004e-18,1.42e-18,21800.0,7590.0,9270.0,85000000.0,2990000000.0,996000000.0000001,226.0,11100.000000000002,4300.0,4.8735994e-13,6.724041e-11,9.1861406e-12,2.451018e-13,1.9883981,274.33667,37.478878
25T 1000uM Final ZnCl2 SiNP,3.55,96768.0,150617.0,167024.0,9.09e-08,1.006e-07,6.02e-08,5.7000000000000005e-18,7.7e-18,1.64e-18,5900.0,5330.0,8910.0,250999999.99999997,6070000000.0,708000000.0,5400.0,32000.0,4000.0,2.3199375e-11,2.1374331e-10,1.26222565e-11,2.1250654e-13,109.170166,1005.81995,59.397026
25T 1000uM Final ZnCl2 SiNP,3.53,137258.0,216030.0,243390.0,1.1299999999999998e-07,1.2e-07,8.849999999999999e-08,1.0900000000000002e-17,1.29e-17,5.200000000000001e-18,4720.0,4460.0,6030.0,516000000.0,8029999999.999999,1190000000.0,12000.0,53000.0,11200.000000000002,2.642294e-11,1.1846019e-10,1.0009325e-11,2.356674e-13,112.11963,502.6584,42.47225
25T 1000uM Final ZnCl2 SiNP,3.51,132973.0,211698.0,239937.0,7.690000000000001e-08,1.2199999999999998e-07,9.400000000000001e-08,3.4e-18,1.3700000000000003e-17,6.200000000000001e-18,6900.0,4350.0,5660.0,132100000.0,4640000000.0,1050999999.9999999,2810.0,42000.0,11800.0,3.678158e-12,1.937172e-10,1.2713657e-11,2.1979747e-13,16.734304,881.34406,57.8426
25T 1000uM Final ZnCl2 SiNP,3.54,136770.0,213133.0,239233.0,1.5e-07,1.68e-07,7.389999999999999e-08,2.53e-17,3.6000000000000006e-17,3.0000000000000002e-18,3570.0,3190.0,7240.0,1052999999.9999999,8760000000.0,896000000.0000001,30000.0,109000.00000000001,6700.0,1.320102e-10,5.442913e-10,1.3798778e-11,2.4001444e-13,550.0094,2267.744,57.491447
25T 1000uM Final ZnCl2 SiNP,3.56,130445.0,202048.0,224528.0,9.32e-08,8.61e-08,5e-08,6.1e-18,4.8e-18,9.4e-19,5710.0,6180.0,10640.0,1866000000.0,22300000000.0,1332000000.0,15500.0,46000.0,3800.0,7.036084e-11,2.6852198e-10,5.964574e-12,2.506807e-13,280.67914,1071.1714,23.793512
25T 1000uM Final ZnCl2 SiNP,3.51,133325.0,213804.0,242787.0,7.72e-08,1.33e-07,1.0099999999999999e-07,3.5e-18,1.7700000000000003e-17,7.7e-18,6870.0,3990.0,5270.0,75000000.0,3550000000.0,1076000000.0,2140.0,44000.0,13799.999999999998,3.967962e-12,1.6872559e-10,2.0507072e-11,2.3422827e-13,16.940577,720.3468,87.55165
25T 1000uM Final ZnCl2 SiNP,3.55,135230.0,216620.0,245480.0,6.75e-08,1.1299999999999998e-07,9.19e-08,2.31e-18,1.0800000000000001e-17,5.900000000000001e-18,7950.0,4750.0,5840.0,99900000.0,4099999999.9999995,1222000000.0,1870.0,34000.0,12200.0,4.1078057e-12,1.2538937e-10,2.0005723e-11,2.2177965e-13,18.522013,565.3781,90.2054
25T 1000uM Final ZnCl2 SiNP,3.54,134650.0,215489.0,244455.0,7.040000000000001e-08,1.23e-07,9.15e-08,2.6300000000000003e-18,1.41e-17,5.8e-18,7600.0,4340.0,5840.0,99200000.0,3880000000.0,1205000000.0,2040.0,39000.0,12000.0,3.8009665e-12,1.253939e-10,1.8243875e-11,2.2364178e-13,16.995779,560.69086,81.576324
25T 1000uM Final ZnCl2 SiNP,3.54,135198.0,218375.0,248680.0,3.14e-08,1.0069999999999998e-07,8.86e-08,2.32e-19,7.7e-18,5.200000000000001e-18,17100.0,5310.0,6030.0,84300000.0,3140000000.0,1173000000.0,370.0,23500.0,11100.000000000002,1.0837093e-12,3.813365e-11,1.703897e-11,2.3603786e-13,4.591252,161.55734,72.18744
